id,category_id,name,file_link,thumbnail,created_at,updated_at
db35f882-4f7a-43ad-b402-0ecab6e4faf4,ba31ade3-21b9-4e9c-a817-5248da326ece,70 Toughest Interview Questions & Answers,https://drive.google.com/file/d/1MMhzHM6HxbWB9qV8ffudI2dGkkENrfyi/preview,https://lh3.googleusercontent.com/d/1MMhzHM6HxbWB9qV8ffudI2dGkkENrfyi=s1024?authuser=0,2025-09-29 11:03:42.628186+00,2025-09-29 11:03:42.628186+00
db669d56-b56a-4bd1-af4a-85ed1185ae66,04577458-edfd-4742-ab2a-78b7f8b121b3,Infosys Paper 2 (1),https://drive.google.com/file/d/1rpBPbg45ru2gYek1UePM9U_k_OQrdi04/view?usp=sharing,https://lh3.googleusercontent.com/d/1rpBPbg45ru2gYek1UePM9U_k_OQrdi04=s1024?authuser=0,2025-09-18 12:15:54.155918+00,2025-09-18 12:15:54.155918+00
db684bfe-d60f-4f97-9a8c-965dc5dd135f,cd7da26c-f934-498f-bec6-dc8fc04f60d5,Quantitative Aptitude,https://drive.google.com/file/d/1IWLbXuabsDGVOZuZWncLjbOosnJelSGH/view?usp=sharing,https://lh3.googleusercontent.com/d/1IWLbXuabsDGVOZuZWncLjbOosnJelSGH=s1024?authuser=0,2025-09-18 12:18:02.612339+00,2025-09-18 12:18:02.612339+00
db6e685c-2f7b-47f2-aeaa-73097b857f9d,2394de41-8011-4706-876b-59f56f68ce3c,Linux,https://drive.google.com/file/d/1MJWQKDr47SGIhu86M47DHxO-lIzvlshk/preview,https://lh3.googleusercontent.com/d/1MJWQKDr47SGIhu86M47DHxO-lIzvlshk=s1024?authuser=0,2025-09-29 11:03:47.97466+00,2025-09-29 11:03:47.97466+00
db771e1d-fee0-4798-b85e-cee161ed34b7,6b4a161f-4ede-4db4-832d-55c6dcbe12f2,Compiler Design Practice Solution 4,https://drive.google.com/file/d/18EyAt8Ax9y7InpTE_c461IzmPn_cLOro/preview,https://lh3.googleusercontent.com/d/18EyAt8Ax9y7InpTE_c461IzmPn_cLOro=s1024?authuser=0,2025-09-29 11:05:35.694149+00,2025-09-29 11:05:35.694149+00
db9ba576-24c7-4379-a51b-0e46ce53efca,8cb1b145-658d-4663-85cb-e045e1d4451b,SQL Cheat Sheet,https://drive.google.com/file/d/1jId_tdJg5wUDvAVrHgGCxgt8ZlyP0slc/preview,https://lh3.googleusercontent.com/d/1jId_tdJg5wUDvAVrHgGCxgt8ZlyP0slc=s1024?authuser=0,2025-09-29 11:04:00.289369+00,2025-09-29 11:04:00.289369+00
dbb59766-14d7-42a7-824e-5dd64ef22a45,04577458-edfd-4742-ab2a-78b7f8b121b3,Infosys Paid Material Pro 1.1,https://drive.google.com/file/d/1LiHOb5-z46Y8CG-CWilRA87CIT1eeo5q/view?usp=sharing,https://lh3.googleusercontent.com/d/1LiHOb5-z46Y8CG-CWilRA87CIT1eeo5q=s1024?authuser=0,2025-09-18 12:16:20.038491+00,2025-09-18 12:16:20.038491+00
dc538f96-9b0c-4ec0-9877-097fe7756cf3,ba31ade3-21b9-4e9c-a817-5248da326ece,Git & Github Interviews Q&A,https://drive.google.com/file/d/1AveuBFy1Q5aLo1UQEuVj6BBxlYs9ySRe/preview,https://lh3.googleusercontent.com/d/1AveuBFy1Q5aLo1UQEuVj6BBxlYs9ySRe=s1024?authuser=0,2025-09-29 11:03:41.916648+00,2025-09-29 11:03:41.916648+00
dc97e847-d559-4f4d-9191-26cae93f6ec9,2ce7b02e-0d37-4190-ba20-d9f34d607a7a,Fundamentals of wireless sensor networks - Waltenegus Dargie,https://drive.google.com/file/d/1ksqffBp2cXNtYl9Bwc5Rr8VlWRbrGtQ6/preview,https://lh3.googleusercontent.com/d/1ksqffBp2cXNtYl9Bwc5Rr8VlWRbrGtQ6=s1024?authuser=0,2025-09-29 11:05:19.436295+00,2025-09-29 11:05:19.436295+00
dd04ff67-2c47-47e6-9b8b-0c788fedb1dd,dab657b1-1ceb-42a1-a781-7f23313b703d,C++ Notes For Professionals,https://drive.google.com/file/d/1dFR_P3ymZt2jWL4Gl9TB80O9diBjx2oi/preview,https://lh3.googleusercontent.com/d/1dFR_P3ymZt2jWL4Gl9TB80O9diBjx2oi=s1024?authuser=0,2025-09-29 11:06:46.303597+00,2025-09-29 11:06:46.303597+00
